		'' `
Nick Fallon	PERSON	'' ' is a fictional character on the American soap opera '' Days of Our Lives '' .
		
		The role was played by
Blake Berris	ORGANIZATION	from
November 7 , 2006	DATE	, to
January 15 , 2009	DATE	.
		
		In
May 2012	DATE	, it was announced that Berris would return to the series .
		
		He returned on
August 27 , 2012	DATE	.
		
		His final air date was
May 12 , 2014	DATE	, when the character was killed in a whodunit murder mystery .
		
		
Nick	PERSON	, the son of
Joshua Fallon	PERSON	and
Jessica Blake	PERSON	#NOM?
Marie Horton	PERSON	and the granddaughter of
Alice Horton	PERSON	-RRB- , came to Salem to get to know his
Horton	PERSON	relatives .
		
		His medical knowledge and intelligence were put to the test when he was asked to help save
Kayla Brady	PERSON	, who was suffering from a rare ailment .
		
		He succeeded in saving
Kayla	PERSON	, and found himself intrigued by
Chelsea Brady	ORGANIZATION	.
		
		Nick created an online identity to chat with
Chelsea	PERSON	in an attempt to get her to fall for him , and provided a picture of a handsome colleague of his when she pushes to know what he looks like .
		
		Later ,
Nick	PERSON	helped
Chelsea	PERSON	get money to
Shawn	PERSON	and
Belle	PERSON	who were on the run with their daughter
Claire	PERSON	in
Toronto	LOCATION	,
Canada	LOCATION	.
		
		Nick 's clever and brave actions on this mission caused
Chelsea	LOCATION	to take interest in
Nick	PERSON	as more than a friend .
		
		However , shortly after returning from
Canada	LOCATION	,
Chelsea	PERSON	discovered that
Nick	PERSON	was her online love .
		
		She was devastated and saw
Nick	PERSON	's actions as a malicious trick , thinking that
Nick	PERSON	used the online lover to secretly mock her while she revealed her inner thoughts and feelings for the first time .
		
		She tearfully told
Nick	PERSON	that she never wanted to see him again .
		
		Hurt ,
Nick	PERSON	had an affair with
Chelsea	ORGANIZATION	's mother
Billie Reed	PERSON	, who , under the influence of alcohol seduced him .
		
		Billie and he both regretted it , and swore never to tell anyone .
		
		When
Nick	PERSON	saved
Chelsea	ORGANIZATION	from getting raped by Dr.
Reibert	PERSON	, whom she had been dating to spite
Nick	PERSON	, she forgave him .
		
		Nick began tutoring her in math and this led to them dating .
		
		Unfortunately ,
Chelsea	PERSON	soon discovered
Nick	PERSON	and
Billie	PERSON	's one-night stand and their relationship was again in turmoil .
		
		Then , when
